trait,pval,pair,conf_low,conf_top,statistics,test_type,alpha
Hydropathicity,0,coloc vs non_coloc,-0.43172994546027,-0.0350016772285466,-0.193784636130153,ks,1
Hydropathicity,0,coloc vs non_sQTL,-0.475056502802451,-0.125797699845789,-0.266451075607128,ks,1
Hydropathicity,0,non_coloc vs non_sQTL,-0.16194241379534,-0.0113062515979983,-0.0840207264754726,ks,1
Length,0,coloc vs non_coloc,0.14268905136119,0.289310429878075,0.225275426922636,ks,1
Length,0,coloc vs non_sQTL,0.114142381022892,0.216263776829422,0.17351992323847,ks,1
Length,0,non_coloc vs non_sQTL,-0.0411636003632105,0,0,ks,0.2
% ASN,2.32360681707787,coloc vs non_coloc,-1.04499280894458,-0.442332861655687,-0.771379161397977,ks,1
% ASN,3.13034470370337,coloc vs non_sQTL,-1.09717958800271,-0.444498001465496,-1.0464795796274,ks,1
% ASN,1.62869882470247,non_coloc vs non_sQTL,-0.0834173560516718,-0.0315789424285307,-0.0546581645677772,ks,1
% CYS,0,coloc vs non_coloc,-0.0337862364020318,0.0752382248208264,0.026824503508234,ks,0.2
% CYS,0.883915231641783,coloc vs non_sQTL,-0.250628674837846,-0.137574358567041,-0.177342444651297,ks,1
% CYS,2.31607012748302,non_coloc vs non_sQTL,-0.218862880464892,-0.146953920139445,-0.178180924874207,ks,1
Symm_dist,0,coloc vs non_coloc,0,0,0,ks,0.2
Symm_dist,0,coloc vs non_sQTL,0,0,0,ks,0.2
Symm_dist,0,non_coloc vs non_sQTL,0,0,0,ks,0.2
MIN_RSA,0,coloc vs non_coloc,0.746218289404631,0.821437977073118,0.772506518518624,ks,1
MIN_RSA,0,coloc vs non_sQTL,0.386856062860201,0.858488826137723,0.819802789622537,ks,1
MIN_RSA,0,non_coloc vs non_sQTL,0,0,0,ks,0.2
Q1_RSA,0,coloc vs non_coloc,0.125831960536485,0.421798630069747,0.255951155719775,ks,1
Q1_RSA,0,coloc vs non_sQTL,0.07457250727983,0.341184987564435,0.20782695462068,ks,1
Q1_RSA,0,non_coloc vs non_sQTL,-0.116960714469292,0.0113263955832427,-0.0491969235934025,ks,0.2
Q2_RSA,0,coloc vs non_coloc,0.090188866726615,0.345209099560191,0.205757484990892,ks,1
Q2_RSA,0,coloc vs non_sQTL,0.00223356292033692,0.261022843382126,0.122172877434082,ks,1
Q2_RSA,0,non_coloc vs non_sQTL,-0.126184542080282,-0.0164769749375767,-0.072943917245795,ks,1
Q3_RSA,0,coloc vs non_coloc,-0.00183793469732304,0.359189469706723,0.175507128674724,ks,0.2
Q3_RSA,0,coloc vs non_sQTL,-0.0165278132741177,0.249915397874389,0.097076086872375,ks,0.2
Q3_RSA,0,non_coloc vs non_sQTL,-0.117744272598655,0.0277595989371568,-0.0367104882667545,ks,0.2
MAX_RSA,0,coloc vs non_coloc,0.0586500850237691,0.232553827316119,0.136941648410039,ks,1
MAX_RSA,0,coloc vs non_sQTL,0.0173057124388608,0.127352284610494,0.0743674728543388,ks,1
MAX_RSA,0,non_coloc vs non_sQTL,-0.0944707863796236,-0.0387416957983871,-0.0656103032180289,ks,1
MIN_pLDDT,0,coloc vs non_coloc,-0.359879783969808,-0.0405469996494983,-0.198476462534841,ks,1
MIN_pLDDT,0,coloc vs non_sQTL,-0.203880268308259,0.0893572832755863,-0.0484238712243292,ks,0.2
MIN_pLDDT,0,non_coloc vs non_sQTL,0.0526519327832738,0.2209059113039,0.137485064491073,ks,1
Q1_pLDDT,0,coloc vs non_coloc,-0.308634899850318,-0.0329929180486391,-0.16015355165701,ks,1
Q1_pLDDT,0,coloc vs non_sQTL,-0.196085411978003,0.123663067066167,-0.0418171570867674,ks,0.2
Q1_pLDDT,0,non_coloc vs non_sQTL,0.0687516804954446,0.218004727259516,0.148872515927856,ks,1
Q2_pLDDT,0,coloc vs non_coloc,-0.275099493887065,0.0487559548683893,-0.0901163646872722,ks,0.2
Q2_pLDDT,0,coloc vs non_sQTL,-0.23828028600882,0.12084843406031,0.014907577751864,ks,0.2
Q2_pLDDT,0,non_coloc vs non_sQTL,-0.00094107445936555,0.183901435210414,0.0871284546275691,ks,0.2
Q3_pLDDT,0,coloc vs non_coloc,-0.375065459512028,-0.0556923411131259,-0.216138073462459,ks,1
Q3_pLDDT,0,coloc vs non_sQTL,-0.318332834455671,0.019451515677865,-0.144468036313865,ks,0.2
Q3_pLDDT,0,non_coloc vs non_sQTL,-0.0246952041886739,0.137263770976995,0.051081898577074,ks,0.2
MAX_pLDDT,0.409309762529565,coloc vs non_coloc,-0.396826102540348,-0.0467663856312394,-0.233785486127436,ks,1
MAX_pLDDT,0.481771697064555,coloc vs non_sQTL,-0.470268266612573,-0.0954018957396251,-0.275409333781465,ks,1
MAX_pLDDT,0,non_coloc vs non_sQTL,-0.0799920414047086,0.029067572865474,-0.033030518253449,ks,0.2
