pid	median_psi	mean_psi	sd_psi	exon_id
chr1_15005_15038_-	0.96429	0.9391115646258503	0.07960460867002475	ENSG00000227232.5_10
chr1_15796_15947_-	0.97628	0.9509044217687075	0.06292538903422501	ENSG00000227232.5_9
chr1_16607_16765_-	0.95	0.9356923809523809	0.07514326382129602	ENSG00000227232.5_8
chr1_16858_17055_-	0.98485	0.9791590476190476	0.025321235831180608	ENSG00000227232.5_7
chr1_17233_17368_-	0.925	0.9197191156462585	0.03432015101439558	ENSG00000227232.5_6
chr1_17606_17742_-	0.97329	0.9654575510204082	0.032622979622359334	ENSG00000227232.5_5
chr1_17915_18061_-	0.98287	0.9764666666666667	0.028151369521500606	ENSG00000227232.5_4
chr1_18268_18366_-	0.92391	0.916061156462585	0.05466103055177611	ENSG00000227232.5_3
chr1_24738_24891_-	0.71212	0.7112028571428571	0.12156114831977327	ENSG00000227232.5_2
chr1_91106_91629_-	0.14005499999999999	0.1441791911764706	0.11334582561906233	ENSG00000238009.6_6
chr1_92091_92240_-	0.24333	0.25580391304347827	0.17173511101088035	ENSG00000238009.6_5
chr1_112700_112804_-	0.11504	0.12913985185185184	0.10439988093995316	ENSG00000238009.6_3
chr1_120721_120932_-	0	0.049699185185185187	0.12929242484563994	ENSG00000238009.6_2
chr1_129055_129223_-	0	0.05392467153284672	0.1144125787128417	ENSG00000238009.6_1
chr1_139790_139847_-	0.26087	0.336214964028777	0.2765825868023533	ENSG00000239906.1_2
chr1_140075_140339_-	0.13224	0.16634340579710144	0.1506789247998101	ENSG00000239906.1_1
chr1_141474_143011_-	0.17647	0.18957460431654677	0.14140594249482427	ENSG00000241860.6_10
chr1_146386_149707_-	0.10102	0.11260630434782609	0.09766484529967959	ENSG00000241860.6_9
chr1_155767_155831_-	0.26316	0.27144390070921987	0.18834864408011714	ENSG00000241860.6_8
chr1_164263_164791_-	0.46214999999999995	0.4386569444444445	0.21235843067490912	ENSG00000241860.6_7
chr1_165884_165942_-	0.636745	0.6061119863013699	0.19766896307269458	ENSG00000241860.6_6
chr1_168100_168165_-	0.65217	0.6355515646258504	0.19079808003794305	ENSG00000241860.6_5
chr1_168610_168767_-	0	0.017005170068027212	0.029551344297673598	ENSG00000241860.6_4
chr1_169049_169264_-	0.52941	0.5375439455782313	0.2043561994312128	ENSG00000241860.6_3
chr1_172557_172688_-	0.35931	0.3726869285714286	0.1949213050390448	ENSG00000241860.6_2
chr1_173753_173862_-	0.33333	0.3391565714285714	0.18035700405557123	ENSG00000241860.6_1
chr1_185217_185350_-	0.89313	0.8723202721088436	0.10400154297423352	ENSG00000279457.4_10
chr1_185491_185559_-	0.94025	0.9295617006802721	0.07211386186521475	ENSG00000279457.4_9
chr1_186317_186469_-	0.94656	0.9270314285714286	0.07793110526928994	ENSG00000279457.4_8
