pid	median_psi	mean_psi	sd_psi	exon_id
chr1_15005_15038_-	0.91324	0.8822744976076555	0.11069685656653822	ENSG00000227232.5_10
chr1_15796_15947_-	0.92453	0.9128811483253588	0.0854646939566163	ENSG00000227232.5_9
chr1_16607_16765_-	0.91404	0.9022574162679425	0.08829174263934444	ENSG00000227232.5_8
chr1_16858_17055_-	0.97193	0.9646629186602871	0.03505804281416317	ENSG00000227232.5_7
chr1_17233_17368_-	0.81599	0.812084066985646	0.0499956461586648	ENSG00000227232.5_6
chr1_17606_17742_-	0.83156	0.8363963157894737	0.05423333641912322	ENSG00000227232.5_5
chr1_17915_18061_-	0.90941	0.9132144976076555	0.04309212748087659	ENSG00000227232.5_4
chr1_18268_18366_-	0.64858	0.6435900956937799	0.07715626815350399	ENSG00000227232.5_3
chr1_24738_24891_-	0.45497	0.45492253588516746	0.10412643866297609	ENSG00000227232.5_2
chr1_29534_29553_-	0	0.003020095693779904	0.011796642163639301	ENSG00000227232.5_1
chr1_30504_30667_+	0.00509	0.009379182389937107	0.019184367910152603	ENSG00000243485.5_3
chr1_30976_31109_+	0.00509	0.009379182389937107	0.019184367910152603	ENSG00000243485.5_4
chr1_90051_90286_-	0	0.01943818181818182	0.03482845848895388	ENSG00000238009.6_7
chr1_91106_91629_-	0.09231	0.10334253588516747	0.06983780038266074	ENSG00000238009.6_6
chr1_92091_92240_-	0.22509	0.240191004784689	0.1405613838822363	ENSG00000238009.6_5
chr1_112700_112804_-	0.025	0.030373397129186602	0.029446668520593675	ENSG00000238009.6_3
chr1_120721_120932_-	0.03448	0.049965167464114835	0.054038220431465965	ENSG00000238009.6_2
chr1_129055_129223_-	0	0.002430287081339713	0.006190393838741323	ENSG00000238009.6_1
chr1_139790_139847_-	0.02439	0.07504588516746412	0.10727268055998793	ENSG00000239906.1_2
chr1_140075_140339_-	0.01711	0.022753684210526315	0.026502299271002838	ENSG00000239906.1_1
chr1_141474_143011_-	0.03162	0.03686612440191388	0.027592403877416148	ENSG00000241860.6_10
chr1_146386_149707_-	0.02493	0.027338564593301435	0.021243146312102505	ENSG00000241860.6_9
chr1_155767_155831_-	0.03162	0.07370674641148325	0.08640143234622129	ENSG00000241860.6_8
chr1_164263_164791_-	0.06195	0.12888976076555025	0.13087331056304397	ENSG00000241860.6_7
chr1_165884_165942_-	0.31343	0.3401541148325359	0.12630074697273713	ENSG00000241860.6_6
chr1_168100_168165_-	0.26862	0.3011308133971292	0.13176185335967885	ENSG00000241860.6_5
chr1_168610_168767_-	0	0.04540947368421053	0.06703783971794275	ENSG00000241860.6_4
chr1_169049_169264_-	0.2	0.20906607655502393	0.07413304011988979	ENSG00000241860.6_3
chr1_172557_172688_-	0.08333	0.10121837320574163	0.0648413417744424	ENSG00000241860.6_2
chr1_173753_173862_-	0.07317	0.10058406698564594	0.07082030548817055	ENSG00000241860.6_1
chr1_185217_185350_-	0.68581	0.6891559330143541	0.10674199126062785	ENSG00000279457.4_10
chr1_185491_185559_-	0.80604	0.7985474641148326	0.07968940648868668	ENSG00000279457.4_9
chr1_186317_186469_-	0.80312	0.799036028708134	0.08278977653706322	ENSG00000279457.4_8
chr1_187129_187287_-	0.64958	0.6601893301435406	0.11252835139990235	ENSG00000279457.4_7
chr1_187376_187577_-	0.65576	0.6526086124401914	0.10575178052459974	ENSG00000279457.4_6
chr1_187755_187890_-	0.65845	0.6529346411483253	0.09097354568452236	ENSG00000279457.4_5
chr1_188130_188266_-	0.68546	0.6809830143540669	0.10651464941682535	ENSG00000279457.4_4
chr1_188439_188584_-	0.78132	0.765814019138756	0.09775615128746679	ENSG00000279457.4_3
chr1_188791_188902_-	0.53566	0.5295890909090909	0.09747396700597098	ENSG00000279457.4_2
chr1_195263_195411_-	0.60134	0.5928598564593301	0.1646644553282128	ENSG00000279457.4_1
chr1_259025_259025_-	0.03519	0.06282370786516854	0.08607161588979423	ENSG00000228463.9_8
chr1_261550_261634_-	0.03827	0.06469335164835165	0.10579543695200001	ENSG00000228463.9_7
chr1_266361_268204_-	0.191235	0.2705376288659794	0.2325142564898603	ENSG00000228463.9_5
chr1_268667_268816_-	0.40714	0.4459476960784314	0.23326255770204588	ENSG00000228463.9_4
chr1_289266_289370_-	0.062805	0.12210948979591837	0.19867455989760638	ENSG00000228463.9_2
chr1_297345_297502_-	0.03538	0.05091454054054054	0.07009674615602887	ENSG00000228463.9_1
chr1_357383_357586_-	0	0.010356263736263737	0.03198067032382214	ENSG00000236743.1_3
chr1_358049_358183_-	0	0.014911256830601093	0.047502915897251696	ENSG00000236743.1_2
chr1_373144_373323_-	0	0.02031448087431694	0.049828296857544044	ENSG00000237094.11_13
chr1_379769_379972_-	0	0.008608852459016393	0.029860347062582716	ENSG00000237094.11_12
chr1_476531_476945_-	0.05701	0.07329568306010929	0.09735857337894036	ENSG00000237094.11_11
chr1_494382_494898_-	0.36957	0.43489837320574165	0.2665655866332871	ENSG00000237094.11_8
chr1_494992_495049_-	0.41243	0.4649666507177033	0.2324969030299889	ENSG00000237094.11_7
chr1_495277_495476_-	0	0.02625425837320574	0.03935289526723151	ENSG00000237094.11_6
chr1_497109_497299_-	0.34545	0.3672805263157895	0.15348478351418013	ENSG00000237094.11_4
chr1_498047_498305_-	0.20437	0.22417913875598086	0.1054754823736161	ENSG00000237094.11_3
chr1_498399_499369_-	0.27297	0.3070595215311005	0.1567523170321966	ENSG00000237094.11_2
chr1_501556_501617_-	0.02722	0.07019736842105263	0.11454215754498746	ENSG00000237094.11_1
chr1_585989_586358_-	0	0.003178468899521531	0.010453568150040334	ENSG00000230021.8_16
chr1_586821_586955_-	0	0.003539377990430622	0.010692162887245865	ENSG00000230021.8_15
chr1_601398_601577_-	0	0.005549138755980862	0.010733390174558459	ENSG00000230021.8_11
chr1_607955_608056_-	0	0.0035406698564593303	0.008609132535318151	ENSG00000230021.8_10
chr1_711342_711922_-	0.01226	0.02139622009569378	0.03125856995673005	ENSG00000230021.8_3
chr1_725885_729804_-	0.42141	0.42476287081339714	0.17010326415261012	ENSG00000228327.3_16
chr1_733307_733364_-	0.37944	0.39903224880382776	0.15582532946569258	ENSG00000228327.3_15
chr1_735423_735613_-	0.16067	0.16459363636363636	0.07111800531498699	ENSG00000228327.3_14
chr1_743180_743350_-	0.21101	0.299225980861244	0.25136734549054135	ENSG00000228327.3_13
chr1_744195_744391_-	0.1831	0.27050885167464117	0.24184915047643854	ENSG00000228327.3_12
chr1_744728_744825_-	0.070485	0.11243228155339806	0.12212918796629128	ENSG00000228327.3_11
chr1_746695_746818_-	0.23256	0.3078612440191388	0.233332850763797	ENSG00000228327.3_10
chr1_756077_756141_-	0.30249	0.43812985645933017	0.33166078904779533	ENSG00000228327.3_9
chr1_758967_759123_-	0.28105	0.4241815789473684	0.33676356245017003	ENSG00000228327.3_8
chr1_764723_765247_-	0.2446	0.394785980861244	0.3344258358310088	ENSG00000228327.3_7
chr1_766329_766387_-	0.7563	0.6897524880382775	0.26276742271250486	ENSG00000228327.3_6
chr1_768548_768613_-	1	0.9261354545454545	0.12995441459230223	ENSG00000228327.3_5
chr1_769497_769712_-	0.93676	0.9039290909090909	0.12097289240075314	ENSG00000228327.3_4
chr1_772976_773107_-	0.88983	0.8648282775119617	0.15231945040610792	ENSG00000228327.3_3
chr1_774171_774280_-	1	0.8872097326203209	0.22034911804463025	ENSG00000228327.3_2
chr1_778284_778626_-	0.29412	0.35928712	0.30159807816250445	ENSG00000228327.3_1
chr1_827821_827853_+	0	0.0064417647058823526	0.021971605429424914	ENSG00000228794.8_3
chr1_829003_829104_+	1	0.9242630434782608	0.20673248140736766	ENSG00000228794.8_4
chr1_841200_842020_+	0	0.023683543689320387	0.04266550540859973	ENSG00000228794.8_6
chr1_847654_847806_+	0.775985	0.7611050970873786	0.2098972285382523	ENSG00000228794.8_7
chr1_849484_849602_+	0.14286	0.15170242574257425	0.12233194434212312	ENSG00000228794.8_8
chr1_850178_850351_+	0	0.03549450495049505	0.06521850553852855	ENSG00000228794.8_9
chr1_851927_852515_+	1	0.9112653333333334	0.251934386586232	ENSG00000228794.8_10
chr1_852671_852766_+	0.92208	0.8675909090909091	0.1938466069514074	ENSG00000228794.8_11
chr1_853391_859446_+	1	0.9399647596153846	0.19878063726052492	ENSG00000228794.8_12
chr1_946173_946286_-	1	0.9823395693779904	0.06977615217819368	ENSG00000188976.10_17
chr1_946402_946545_-	1	0.9800032057416268	0.07792392262378518	ENSG00000188976.10_16
chr1_954004_954082_-	1	0.9729604306220095	0.10233783831631378	ENSG00000188976.10_8
chr1_954426_954523_-	0.02299	0.025039043062200957	0.02443875533944816	ENSG00000188976.10_7
chr1_961293_961552_+	1	0.9541966129032258	0.1572935703289996	ENSG00000187961.13_2
chr1_999526_999613_-	1	0.9508541414141414	0.1701006335497627	ENSG00000188290.10_2
chr1_999692_1000172_-	1	0.9069499290780142	0.2586666382665878	ENSG00000188290.10_1
chr1_1051032_1051043_+	0.31818	0.32089845771144276	0.1667673577685677	ENSG00000188157.14_32
chr1_1105956_1106127_-	0.28571	0.2873533082706767	0.21142644417515088	ENSG00000131591.17_4
chr1_1106650_1106871_-	0	0.09549302521008403	0.13598567233573197	ENSG00000131591.17_3
chr1_1204399_1204486_-	0.632135	0.6208921014492753	0.2646216065253879	ENSG00000186891.13_3
