pid	median_psi	mean_psi	sd_psi	exon_id
chr1_15005_15038_-	1	0.9292868368794326	0.10653475916609118	ENSG00000227232.5_10
chr1_15796_15947_-	1	0.9513283994334277	0.075713556001545	ENSG00000227232.5_9
chr1_16607_16765_-	1	0.9379312926136364	0.09224772039128089	ENSG00000227232.5_8
chr1_16858_17055_-	1	0.9811563172804533	0.029911455179535255	ENSG00000227232.5_7
chr1_17233_17368_-	0.9329350000000001	0.9275834844192634	0.050799400024774524	ENSG00000227232.5_6
chr1_17606_17742_-	0.947875	0.9400978753541076	0.05249039882505	ENSG00000227232.5_5
chr1_17915_18061_-	0.985535	0.9730418838526912	0.035709224586366196	ENSG00000227232.5_4
chr1_18268_18366_-	0.819585	0.8233992634560906	0.09522255244088683	ENSG00000227232.5_3
chr1_24738_24891_-	0.71119	0.7143315811965812	0.15967936394839105	ENSG00000227232.5_2
chr1_90051_90286_-	0	0.02514100511073254	0.08340181099541948	ENSG00000238009.6_7
chr1_91106_91629_-	0.13913999999999999	0.18299554838709678	0.18640145868490496	ENSG00000238009.6_6
chr1_92091_92240_-	0.29231	0.33453185471406494	0.2539505317207676	ENSG00000238009.6_5
chr1_112700_112804_-	0.06329	0.10288761526232114	0.1319138265717464	ENSG00000238009.6_3
chr1_120721_120932_-	0	0.042207154605263156	0.11366137170163099	ENSG00000238009.6_2
chr1_139790_139847_-	0	0.07137830158730159	0.14825168195992602	ENSG00000239906.1_2
chr1_140075_140339_-	0	0.03765528	0.08809033733442226	ENSG00000239906.1_1
chr1_141474_143011_-	0.04065	0.07972693163751987	0.11761893260293159	ENSG00000241860.6_10
chr1_146386_149707_-	0	0.057567129186602874	0.09789758108758141	ENSG00000241860.6_9
chr1_155767_155831_-	0.07895	0.12568410138248848	0.15745306639977275	ENSG00000241860.6_8
chr1_164263_164791_-	0.15	0.2104404783258595	0.20114603696096078	ENSG00000241860.6_7
chr1_165884_165942_-	0.44	0.46039357452966717	0.23010125846852386	ENSG00000241860.6_6
chr1_168100_168165_-	0.445295	0.47861025714285715	0.22994387973771385	ENSG00000241860.6_5
chr1_168610_168767_-	0	0.04844011444921316	0.08625031313087002	ENSG00000241860.6_4
chr1_169049_169264_-	0.319575	0.36085360294117647	0.22381369345049923	ENSG00000241860.6_3
chr1_172557_172688_-	0.12583	0.16685632970451011	0.16693578883412943	ENSG00000241860.6_2
chr1_173753_173862_-	0.12	0.16087685847589425	0.16758706854092406	ENSG00000241860.6_1
chr1_185217_185350_-	0.87755	0.8553107932011331	0.11956409734345146	ENSG00000279457.4_10
chr1_185491_185559_-	0.92808	0.9125392917847025	0.0866132557676654	ENSG00000279457.4_9
chr1_186317_186469_-	0.9430350000000001	0.9214008923512748	0.0909036179459128	ENSG00000279457.4_8
chr1_187129_187287_-	0.84444	0.8180709348441927	0.14484488326258466	ENSG00000279457.4_7
chr1_187376_187577_-	0.8501099999999999	0.8268464589235127	0.1375110818350397	ENSG00000279457.4_6
chr1_187755_187890_-	0.857735	0.8347702266288952	0.12341080203168844	ENSG00000279457.4_5
chr1_188130_188266_-	0.8593	0.8287893484419263	0.13918116873367362	ENSG00000279457.4_4
chr1_188439_188584_-	0.90375	0.870728611898017	0.12361627909298128	ENSG00000279457.4_3
chr1_188791_188902_-	0.80549	0.7852894050991501	0.13344118514316167	ENSG00000279457.4_2
chr1_195263_195411_-	0.904305	0.8543410481586402	0.1698899852275052	ENSG00000279457.4_1
chr1_266361_268204_-	0.33333	0.42477827956989245	0.33080133376751836	ENSG00000228463.9_5
chr1_268667_268816_-	0.64286	0.6521658446601942	0.32196291808469196	ENSG00000228463.9_4
chr1_289266_289370_-	0.15385	0.317486875	0.36582507706417017	ENSG00000228463.9_2
chr1_494382_494898_-	0.82609	0.6776411866859624	0.34919398264696744	ENSG00000237094.11_8
chr1_494992_495049_-	0.78313	0.6988634807417974	0.3100187221431888	ENSG00000237094.11_7
chr1_495277_495476_-	0	0.04979832072617247	0.07904666468378228	ENSG00000237094.11_6
chr1_497109_497299_-	0.61905	0.6105988201438849	0.2870800825142973	ENSG00000237094.11_4
chr1_498047_498305_-	0.41194	0.4284790740740741	0.21831987535894404	ENSG00000237094.11_3
chr1_498399_499369_-	0.5969	0.6070549215406562	0.29234498852241747	ENSG00000237094.11_2
chr1_501556_501617_-	0.0339	0.11931013861386139	0.203781942307204	ENSG00000237094.11_1
chr1_586821_586955_-	0	0.010482571428571428	0.05751568377061451	ENSG00000230021.8_15
chr1_601398_601577_-	0	0.021642347826086955	0.06267506893836917	ENSG00000230021.8_11
chr1_607955_608056_-	0	0.015244966216216215	0.05520754314064887	ENSG00000230021.8_10
chr1_711342_711922_-	0	0.019750333333333335	0.07221235042580144	ENSG00000230021.8_3
chr1_725885_729804_-	0.731395	0.6931787215909091	0.22946746116373337	ENSG00000228327.3_16
chr1_733307_733364_-	0.5227550000000001	0.5388417897727272	0.20517615037709216	ENSG00000228327.3_15
chr1_735423_735613_-	0.21667	0.25004991416309014	0.1778367938334664	ENSG00000228327.3_14
chr1_743180_743350_-	0.36842	0.3905223338735819	0.29834951243389723	ENSG00000228327.3_13
chr1_744195_744391_-	0.29571000000000003	0.34829804560260585	0.29632882622898693	ENSG00000228327.3_12
chr1_744728_744825_-	0.24051	0.2859501652892562	0.25497721720255073	ENSG00000228327.3_11
chr1_746695_746818_-	0.56	0.5463168835098335	0.2745545927519368	ENSG00000228327.3_10
chr1_756077_756141_-	1	0.742332801161103	0.3149760085624042	ENSG00000228327.3_9
chr1_758967_759123_-	1	0.728986418128655	0.32621594393333514	ENSG00000228327.3_8
chr1_764723_765247_-	0.77419	0.6619974645669291	0.36394714247728127	ENSG00000228327.3_7
chr1_766329_766387_-	1	0.8367713905325443	0.2635498579722149	ENSG00000228327.3_6
chr1_768548_768613_-	1	0.8903480857142857	0.23442479607404168	ENSG00000228327.3_5
chr1_769497_769712_-	0.69091	0.6625828673323824	0.21981779191781498	ENSG00000228327.3_4
chr1_772976_773107_-	0.59184	0.5686871595900439	0.23291927945864238	ENSG00000228327.3_3
chr1_774171_774280_-	1	0.8498108974358974	0.28845880282953995	ENSG00000228327.3_2
chr1_778284_778626_-	0.5	0.5274240848806366	0.36872781629813717	ENSG00000228327.3_1
chr1_827821_827853_+	0	0.0184021671388102	0.02927952513819383	ENSG00000228794.8_3
chr1_829003_829104_+	1	0.866921940509915	0.2859412780925867	ENSG00000228794.8_4
chr1_841200_842020_+	0.04893	0.0612255698005698	0.06605723942419434	ENSG00000228794.8_6
chr1_847654_847806_+	0.59375	0.5475328876244666	0.233786116377514	ENSG00000228794.8_7
chr1_849484_849602_+	0.17073	0.18034242857142857	0.13199746294474904	ENSG00000228794.8_8
chr1_850178_850351_+	0.05455	0.07288494269340974	0.07882109395700625	ENSG00000228794.8_9
chr1_851927_852515_+	1	0.8323375766423358	0.3334737095000811	ENSG00000228794.8_10
chr1_852671_852766_+	0.91736	0.8120615580736544	0.255905279334616	ENSG00000228794.8_11
chr1_853391_859446_+	1	0.8639385694050992	0.2903845133007283	ENSG00000228794.8_12
chr1_944582_944800_-	1	0.9497049433427762	0.14289387940303058	ENSG00000188976.10_21
chr1_945057_945146_-	1	0.9658694900849858	0.10798368816412436	ENSG00000188976.10_20
chr1_945518_945653_-	1	0.9718207507082153	0.0943896099004871	ENSG00000188976.10_18
chr1_946173_946286_-	1	0.9665153824362607	0.10422723826854273	ENSG00000188976.10_17
chr1_946402_946545_-	1	0.9640454815864022	0.11128159909501495	ENSG00000188976.10_16
chr1_948131_948232_-	1	0.9660813456090651	0.10717634024937872	ENSG00000188976.10_15
chr1_948490_948603_-	1	0.9681432861189802	0.10260971691213723	ENSG00000188976.10_14
chr1_951127_951238_-	1	0.9680048866855524	0.10273707027026631	ENSG00000188976.10_13
chr1_952000_952139_-	1	0.9648283852691218	0.10937487953296195	ENSG00000188976.10_12
chr1_952412_952600_-	1	0.9643271529745042	0.11086125555499751	ENSG00000188976.10_11
chr1_953175_953288_-	1	0.9632016430594901	0.11398620015700452	ENSG00000188976.10_10
chr1_953782_953892_-	1	0.9582120679886685	0.12506196657181415	ENSG00000188976.10_9
chr1_954004_954082_-	1	0.9549237677053825	0.1249468781737212	ENSG00000188976.10_8
chr1_954426_954523_-	0.01575	0.020076954674220965	0.025265824790495994	ENSG00000188976.10_7
chr1_955923_956013_-	1	0.9618273654390935	0.11721789691434015	ENSG00000188976.10_6
chr1_956095_956215_-	1	0.9646855240793201	0.11143203863905958	ENSG00000188976.10_5
chr1_956894_957025_-	1	0.9637370963172804	0.11346555230270589	ENSG00000188976.10_4
chr1_957099_957273_-	1	0.9581534985835694	0.12464139951586899	ENSG00000188976.10_3
chr1_958929_959081_-	1	0.951063342776204	0.13933069695482178	ENSG00000188976.10_2
chr1_959215_959309_-	1	0.9261756373937677	0.18958942127086129	ENSG00000188976.10_1
chr1_975866_976269_-	1	0.9618854196301565	0.1243096625782942	ENSG00000187642.9_5
chr1_976499_976624_-	0.993335	0.9623243323863636	0.10322866627240078	ENSG00000187642.9_4
chr1_978881_981029_-	1	0.9545968911174785	0.14083900656557605	ENSG00000187642.9_3
chr1_981137_981173_-	0.84615	0.7966079019908117	0.23195102861553843	ENSG00000187642.9_2
chr1_982065_982093_-	1	0.905584452887538	0.23033036690215236	ENSG00000187642.9_1
chr1_998962_999432_-	1	0.8702947868852459	0.280247338706231	ENSG00000188290.10_3
chr1_999526_999613_-	1	0.8918478082191781	0.24848671483799986	ENSG00000188290.10_2
chr1_999692_1000172_-	1	0.7674782425742575	0.3726410287805822	ENSG00000188290.10_1
chr1_1013423_1013576_+	0.74257	0.6587545688350983	0.33589828423831763	ENSG00000187608.8_3
chr1_1013984_1014541_+	1	0.7157538275340394	0.337244877066952	ENSG00000187608.8_4
chr1_1035277_1035324_+	0.07692	0.2703285561497326	0.38738791679721174	ENSG00000188157.14_4
chr1_1040665_1040880_+	0.06667	0.22411921126760564	0.3590796051142151	ENSG00000188157.14_5
chr1_1041478_1041702_+	0.07092499999999999	0.21313097701149425	0.34247152243446694	ENSG00000188157.14_7
chr1_1041956_1042162_+	0.12	0.32080588235294116	0.39667990881000553	ENSG00000188157.14_8
chr1_1043239_1043457_+	0.122775	0.3212294387755102	0.39850029706874573	ENSG00000188157.14_9
chr1_1043538_1043732_+	0.13253	0.3562808252427184	0.4143361295082319	ENSG00000188157.14_10
chr1_1043823_1044023_+	0.17333	0.4159686681715576	0.4230102265355438	ENSG00000188157.14_11
chr1_1044109_1044257_+	0.25581	0.48658963039014375	0.4248044008279882	ENSG00000188157.14_12
chr1_1044334_1044439_+	0.24094500000000002	0.48194938524590164	0.4295103472379056	ENSG00000188157.14_13
chr1_1045161_1045277_+	0.17949	0.4299511648351648	0.4290665335714486	ENSG00000188157.14_14
chr1_1045359_1045523_+	0.20294	0.44910272727272726	0.42471605928919426	ENSG00000188157.14_15
chr1_1045733_1045876_+	0.22078	0.463367526652452	0.42333547171762287	ENSG00000188157.14_16
chr1_1045964_1046088_+	0.19403	0.42740702702702704	0.41749012786878076	ENSG00000188157.14_17
chr1_1046160_1046265_+	0.16667	0.39043243498817964	0.41222861865921817	ENSG00000188157.14_18
chr1_1046397_1046735_+	0.127015	0.32553790816326533	0.39776851074059333	ENSG00000188157.14_19
chr1_1046820_1046957_+	0.104355	0.30820548969072165	0.3985284249336819	ENSG00000188157.14_20
chr1_1047327_1047454_+	0.16854	0.4067570251716247	0.4213877131942012	ENSG00000188157.14_21
chr1_1047573_1047687_+	0.21053	0.4484075704989154	0.4241728345197503	ENSG00000188157.14_22
chr1_1047776_1047895_+	0.21739	0.44893627450980395	0.4218804389466105	ENSG00000188157.14_23
chr1_1048012_1048365_+	0.21569	0.461679721627409	0.4215729546068283	ENSG00000188157.14_24
chr1_1048867_1049059_+	0.346545	0.5391807824427481	0.41797031495492193	ENSG00000188157.14_25
chr1_1049236_1049451_+	0.486015	0.5928087279151943	0.40309027349596455	ENSG00000188157.14_26
chr1_1049566_1049795_+	0.5029399999999999	0.5912800353356891	0.40324651076643986	ENSG00000188157.14_27
chr1_1049903_1050037_+	0.43888499999999997	0.5778709782608695	0.4051034549800715	ENSG00000188157.14_28
chr1_1050233_1050329_+	0.383635	0.5561522201492537	0.41236315243041716	ENSG00000188157.14_29
chr1_1050427_1050591_+	0.34234	0.5451894486692015	0.4130957137160256	ENSG00000188157.14_30
chr1_1050726_1050837_+	0.39535	0.5663319633027523	0.41050354563471814	ENSG00000188157.14_31
chr1_1051253_1051369_+	0.44186	0.586628449197861	0.40427300703756847	ENSG00000188157.14_33
chr1_1051453_1051645_+	1	0.6323258774834437	0.3893312106963429	ENSG00000188157.14_34
chr1_1051728_1051815_+	1	0.6730320062208398	0.36963927394620366	ENSG00000188157.14_35
chr1_1053753_1053977_+	1	0.6649756329113924	0.3725115749620941	ENSG00000188157.14_38
chr1_1054448_1054551_+	1	0.6271904849498328	0.391437127679823	ENSG00000188157.14_39
chr1_1054824_1055032_+	0.1888	0.41519002293577983	0.4133594442498855	ENSG00000188157.14_40
chr1_1084481_1084506_-	1	0.7990638631346578	0.35759114923522733	ENSG00000131591.17_11
chr1_1085878_1086012_-	1	0.8025931777777778	0.3502978621560256	ENSG00000131591.17_10
chr1_1087139_1087204_-	1	0.7857117857142857	0.36198887198761465	ENSG00000131591.17_9
chr1_1087502_1087597_-	1	0.7490236461126005	0.3887267493778006	ENSG00000131591.17_8
chr1_1211704_1211832_-	1	0.8009328306878307	0.34969105441004106	ENSG00000186827.10_7
chr1_1211942_1212138_-	1	0.8285441428571428	0.32537048274321434	ENSG00000186827.10_6
chr1_1212638_1212704_-	1	0.78232925	0.3520075298348584	ENSG00000186827.10_5
chr1_1218458_1218633_-	1	0.9810401841359774	0.07895590314193711	ENSG00000078808.16_7
chr1_1218769_1219005_-	1	0.9630763597733711	0.10338641370022361	ENSG00000078808.16_6
chr1_1223244_1223357_-	1	0.981799730878187	0.07692880788878691	ENSG00000078808.16_5
chr1_1223832_1223968_-	1	0.9823481444759207	0.07605544138556797	ENSG00000078808.16_4
chr1_1228468_1228946_-	1	0.9771812464589235	0.08892960460169802	ENSG00000078808.16_2
chr1_1231892_1232031_-	1	0.9525610354609929	0.14700674546474568	ENSG00000078808.16_1
chr1_1253909_1255487_-	1	0.9640341501416431	0.11983019717893892	ENSG00000160087.20_11
chr1_1256045_1256335_-	1	0.9616540651558073	0.12092345877937573	ENSG00000160087.20_10
chr1_1256992_1257130_-	1	0.9729070963172805	0.099064528491865	ENSG00000160087.20_9
chr1_1257208_1257310_-	1	0.9729203399433428	0.09913262106693531	ENSG00000160087.20_8
chr1_1262170_1262390_-	0	0.001976813031161473	0.006608210445333575	ENSG00000160087.20_7
chr1_1263346_1263386_-	1	0.9721372379603399	0.10148600249018744	ENSG00000160087.20_6
chr1_1264783_1264830_-	0	0.014196742209631729	0.01856775559816824	ENSG00000160087.20_5
chr1_1267733_1267992_-	0.81818	0.7999564245014245	0.16634774366584676	ENSG00000160087.20_3
chr1_1283978_1284090_+	0.14851	0.3830637647058823	0.4225505108105601	ENSG00000162572.20_4
chr1_1285926_1286278_+	0.13043	0.3729779572446556	0.4220307091118326	ENSG00000162572.20_6
chr1_1286768_1286975_+	0.22222	0.46945485294117645	0.4291106974424633	ENSG00000162572.20_7
chr1_1287109_1287299_+	0.33333	0.5289089823874755	0.41807374807508624	ENSG00000162572.20_8
chr1_1287508_1287836_+	0.36585	0.549078536121673	0.41322569444328927	ENSG00000162572.20_9
chr1_1287939_1288037_+	0.35135	0.5386569673704414	0.4181421331538808	ENSG00000162572.20_10
chr1_1290271_1290388_+	0.31429	0.523167909270217	0.41840328615391503	ENSG00000162572.20_11
chr1_1290477_1290555_+	0.34328	0.5297343025540275	0.4162556840014779	ENSG00000162572.20_12
chr1_1290637_1290694_+	0.36528	0.5522327462121213	0.413628875399398	ENSG00000162572.20_13
chr1_1290895_1290953_+	0.38619000000000003	0.5644269516728625	0.410082642918132	ENSG00000162572.20_14
chr1_1291065_1291140_+	0.36364	0.5540410506566604	0.4148274204399874	ENSG00000162572.20_15
chr1_1291254_1292029_+	0.12727	0.3331948860759494	0.4005210743609928	ENSG00000162572.20_16
chr1_1292376_1293708_-	1	0.948000426742532	0.15727273949369555	ENSG00000131584.18_27
chr1_1293823_1293933_-	1	0.9648658156028369	0.11879003128704098	ENSG00000131584.18_26
chr1_1294090_1294199_-	1	0.9630381843971632	0.12344198604780375	ENSG00000131584.18_25
chr1_1294402_1294628_-	1	0.9632189376770538	0.12337227691565127	ENSG00000131584.18_24
chr1_1294718_1294816_-	0.932635	0.8940665580736544	0.13728930231493697	ENSG00000131584.18_23
chr1_1295447_1295554_-	1	0.9676846317280453	0.11214064915472403	ENSG00000131584.18_22
chr1_1295736_1295938_-	1	0.9687564589235127	0.11000896769988047	ENSG00000131584.18_21
chr1_1296015_1296109_-	1	0.9682495892351275	0.11087753587739213	ENSG00000131584.18_20
chr1_1296211_1296280_-	1	0.9671807932011331	0.11477725413674679	ENSG00000131584.18_19
chr1_1296425_1296633_-	1	0.9674892067988669	0.11337849069875998	ENSG00000131584.18_18
chr1_1297822_1297933_-	1	0.9685649716713881	0.11083001660935723	ENSG00000131584.18_17
chr1_1298013_1298113_-	1	0.9631696600566573	0.12343637243603671	ENSG00000131584.18_16
chr1_1298185_1298265_-	0	0.0112592776203966	0.02461500544863423	ENSG00000131584.18_15
chr1_1298370_1298421_-	1	0.9597545609065156	0.13122154089142682	ENSG00000131584.18_14
chr1_1298567_1298679_-	1	0.9609146600566573	0.12839736443114008	ENSG00000131584.18_13
chr1_1299345_1299356_-	1	0.9587066005665722	0.1335921962219582	ENSG00000131584.18_12
chr1_1299831_1299905_-	1	0.9618019546742209	0.1265368570907898	ENSG00000131584.18_11
chr1_1299973_1300068_-	1	0.9647212464589235	0.11626465328163782	ENSG00000131584.18_10
chr1_1300158_1300202_-	1	0.9663650708215298	0.11253299303404601	ENSG00000131584.18_9
chr1_1300509_1300692_-	1	0.9673420538243626	0.11332130914471591	ENSG00000131584.18_8
chr1_1301988_1302046_-	1	0.9649616005665722	0.11939377637468807	ENSG00000131584.18_7
chr1_1302922_1302975_-	1	0.960566609929078	0.13003263444510926	ENSG00000131584.18_6
chr1_1303162_1303281_-	1	0.9581006515580737	0.13502364388853003	ENSG00000131584.18_5
chr1_1304086_1304143_-	1	0.9512345738636364	0.15203547867307676	ENSG00000131584.18_4
chr1_1307769_1308018_-	1	0.9031180821917808	0.24239665350894654	ENSG00000131584.18_1
chr1_1308821_1308972_+	0.2	0.4090893392070485	0.38179550817396224	ENSG00000169972.11_2
chr1_1309086_1309273_+	1	0.6812083151326053	0.3616784789245232	ENSG00000169972.11_3
chr1_1309454_1309603_+	1	0.7252032492581603	0.32978243073798424	ENSG00000169972.11_4
chr1_1309681_1309851_+	1	0.7461689212827989	0.3133683343138861	ENSG00000169972.11_5
chr1_1310634_1310688_+	1	0.7597969855072464	0.301499905206728	ENSG00000169972.11_6
chr1_1310909_1311071_+	1	0.7612152086330936	0.2989358806239493	ENSG00000169972.11_7
chr1_1311330_1311584_+	1	0.6875162006079027	0.36126299421332647	ENSG00000169972.11_8
chr1_1311678_1311924_-	1	0.9706418696883853	0.10277516369220874	ENSG00000127054.20_20
chr1_1312018_1312147_-	1	0.9816843909348442	0.07608294486835587	ENSG00000127054.20_19
chr1_1312226_1312368_-	1	0.9824476487252125	0.07449338211643042	ENSG00000127054.20_18
chr1_1312440_1312501_-	0.984	0.9669581019830028	0.0770587690644339	ENSG00000127054.20_17
chr1_1312593_1312700_-	1	0.9810757790368272	0.0748552345371998	ENSG00000127054.20_16
chr1_1312787_1312949_-	1	0.9851993201133145	0.06879850537789417	ENSG00000127054.20_15
chr1_1313035_1313124_-	1	0.9864965155807366	0.06577249686725949	ENSG00000127054.20_14
chr1_1313509_1313592_-	1	0.9861088243626063	0.06701631624260909	ENSG00000127054.20_13
chr1_1313732_1314105_-	1	0.97647287535410765	0.09032300415936736	ENSG00000127054.20_12
chr1_1314301_1314365_-	1	0.9800732719546742	0.08048523958718634	ENSG00000127054.20_11
