pid	median_psi	mean_psi	sd_psi	exon_id
chr1_15005_15038_-	0.96865	0.907033508245877	0.12709674787383887	ENSG00000227232.5_10
chr1_15796_15947_-	1	0.9360498050974513	0.0890593505322671	ENSG00000227232.5_9
chr1_16607_16765_-	0.97727	0.9202731184407796	0.10302277159947942	ENSG00000227232.5_8
chr1_16858_17055_-	1	0.9721976268656717	0.038435719162177466	ENSG00000227232.5_7
chr1_17233_17368_-	0.916945	0.9116904029850746	0.05010707826310136	ENSG00000227232.5_6
chr1_17606_17742_-	0.95288	0.9466761641791045	0.04763448744432565	ENSG00000227232.5_5
chr1_17915_18061_-	0.9696750000000001	0.9619407313432836	0.04033809049651823	ENSG00000227232.5_4
chr1_18268_18366_-	0.86667	0.867708447761194	0.07841989127359676	ENSG00000227232.5_3
chr1_24738_24891_-	0.65957	0.6704995052473763	0.16309351517855758	ENSG00000227232.5_2
chr1_90051_90286_-	0	0.0638543025210084	0.13864435701692154	ENSG00000238009.6_7
chr1_91106_91629_-	0.4	0.43334302547770703	0.3085115974939679	ENSG00000238009.6_6
chr1_92091_92240_-	0.64045	0.5940359026687598	0.31038003841103334	ENSG00000238009.6_5
chr1_112700_112804_-	0.09677	0.11229351181102362	0.10738703417811678	ENSG00000238009.6_3
chr1_120721_120932_-	0.020655	0.028210567823343847	0.04116516119681218	ENSG00000238009.6_2
chr1_129055_129223_-	0.375	0.3597505572755418	0.1822237167121836	ENSG00000238009.6_1
chr1_139790_139847_-	0.650305	0.6291433731343283	0.20767352078644893	ENSG00000239906.1_2
chr1_140075_140339_-	0.06616	0.11695307462686567	0.14979132743482848	ENSG00000239906.1_1
chr1_141474_143011_-	0.05632	0.08749666666666667	0.11653070573133724	ENSG00000241860.6_10
chr1_146386_149707_-	0.0366	0.0632484880239521	0.10511918235322254	ENSG00000241860.6_9
chr1_155767_155831_-	0.06836500000000001	0.09713684131736527	0.1149912746160936	ENSG00000241860.6_8
chr1_164263_164791_-	0.09074	0.13015994029850747	0.1404811738319133	ENSG00000241860.6_7
chr1_165884_165942_-	0.107305	0.15133258208955225	0.15046664783387448	ENSG00000241860.6_6
chr1_168100_168165_-	0.108065	0.1523854328358209	0.15213051183483137	ENSG00000241860.6_5
chr1_168610_168767_-	0	5.860597014925373e-4	0.002374362316283355	ENSG00000241860.6_4
chr1_169049_169264_-	0.072965	0.11317585074626865	0.1395898685749325	ENSG00000241860.6_3
chr1_172557_172688_-	0.04738	0.08113316890881914	0.12511493996409234	ENSG00000241860.6_2
chr1_173753_173862_-	0.03247	0.06292708520179373	0.11618870302315887	ENSG00000241860.6_1
chr1_182696_182746_+	0	0.011012531055900622	0.05611405445402819	ENSG00000279928.2_1
chr1_183132_183216_+	0	0.016236511627906975	0.07348139486975537	ENSG00000279928.2_2
chr1_183740_183901_+	0	0.003872056074766355	0.023445923185464283	ENSG00000279928.2_4
chr1_185217_185350_-	0.07813	0.16058962686567163	0.19887740264950649	ENSG00000279457.4_10
chr1_185491_185559_-	0.14407999999999999	0.2362447462686567	0.22176824134020037	ENSG00000279457.4_9
chr1_186317_186469_-	0.11999499999999999	0.21084332835820896	0.220096939002483	ENSG00000279457.4_8
chr1_187129_187287_-	0.051295	0.12155916417910448	0.17787529081972908	ENSG00000279457.4_7
chr1_187376_187577_-	0.055545	0.131423	0.18464455567066995	ENSG00000279457.4_6
chr1_187755_187890_-	0.07722000000000001	0.160493776119403	0.19372017249067086	ENSG00000279457.4_5
chr1_188130_188266_-	0.063085	0.14239453731343282	0.19055380238242806	ENSG00000279457.4_4
chr1_188439_188584_-	0.07118	0.1489110447761194	0.19192417433292808	ENSG00000279457.4_3
chr1_188791_188902_-	0.046735	0.10901650746268657	0.16280032369335107	ENSG00000279457.4_2
chr1_195263_195411_-	0.02001	0.06298100449775113	0.13223637843430947	ENSG00000279457.4_1
chr1_259025_259025_-	0.00162	0.0036332321699544764	0.008081826738292408	ENSG00000228463.9_8
chr1_261550_261634_-	0.00187	0.0042959635811836115	0.009162022667863947	ENSG00000228463.9_7
chr1_266361_268204_-	0.00817	0.014209347496206374	0.022956777506091076	ENSG00000228463.9_5
chr1_268667_268816_-	0.0212	0.03436159090909091	0.055209089650296576	ENSG00000228463.9_4
chr1_289266_289370_-	0.00315	0.005990591805766313	0.011525401816650556	ENSG00000228463.9_2
chr1_297345_297502_-	0	4.048254931714719e-4	0.0027885050779593423	ENSG00000228463.9_1
chr1_357383_357586_-	0	3.5024279210925645e-4	0.0012958909582263705	ENSG00000236743.1_3
chr1_358049_358183_-	0	3.629135053110774e-4	0.0013117379861005136	ENSG00000236743.1_2
chr1_476531_476945_-	0.00175	0.0034444461305007585	0.006535836710695256	ENSG00000237094.11_11
chr1_494382_494898_-	0.19143	0.2559222537313433	0.20204327000522657	ENSG00000237094.11_8
chr1_494992_495049_-	0.33107	0.3846581343283582	0.19716775480938525	ENSG00000237094.11_7
chr1_495277_495476_-	0.0482	0.060320925373134326	0.043376721802818916	ENSG00000237094.11_6
chr1_497109_497299_-	0.34542	0.3578170895522388	0.1113581034752448	ENSG00000237094.11_4
chr1_498047_498305_-	0.12839499999999998	0.14101110447761195	0.0641252979979228	ENSG00000237094.11_3
chr1_498399_499369_-	0.13673000000000002	0.15484120895522388	0.09269104274396608	ENSG00000237094.11_2
chr1_501556_501617_-	0.01605	0.019627937219730943	0.017435832140886037	ENSG00000237094.11_1
chr1_585989_586358_-	0	1.2526158445440956e-4	2.945677824832961e-4	ENSG00000230021.8_16
chr1_586821_586955_-	0	1.31390134529148e-4	3.086531665282506e-4	ENSG00000230021.8_15
chr1_703685_703789_-	7.8e-4	0.0018128998505231688	0.003029671869717686	ENSG00000230021.8_4
chr1_711342_711922_-	7.9e-4	0.001368355754857997	0.0019520489739251704	ENSG00000230021.8_3
chr1_725885_729804_-	0.26771500000000004	0.28525389552238806	0.0933703642110486	ENSG00000228327.3_16
chr1_733307_733364_-	0.349475	0.35987023880597013	0.08397882300642989	ENSG00000228327.3_15
chr1_735423_735613_-	0.214495	0.21252146268656716	0.04914867049078043	ENSG00000228327.3_14
chr1_743180_743350_-	0.36653	0.37282698056801195	0.09310006020101307	ENSG00000228327.3_13
chr1_744195_744391_-	0.1192	0.1405349028400598	0.07823733728079228	ENSG00000228327.3_12
chr1_744728_744825_-	0.186445	0.2032512724550898	0.10885971210125552	ENSG00000228327.3_11
chr1_746695_746818_-	0.438925	0.4467020359281437	0.10293345268184782	ENSG00000228327.3_10
chr1_756077_756141_-	0.6165849999999999	0.6205622835820895	0.13607996689939153	ENSG00000228327.3_9
chr1_758967_759123_-	0.6099749999999999	0.6130168656716418	0.14706746906073792	ENSG00000228327.3_8
chr1_764723_765247_-	0.89463	0.8761721343283582	0.13112521729451965	ENSG00000228327.3_7
chr1_766329_766387_-	0.8770100000000001	0.8588333731343284	0.1456677821062774	ENSG00000228327.3_6
chr1_768548_768613_-	0.8626199999999999	0.8487365970149253	0.15497833766096875	ENSG00000228327.3_5
