pid	median_psi	mean_psi	sd_psi	exon_id
chr1_15005_15038_-	1	0.9265103773584905	0.11313848192805358	ENSG00000227232.5_10
chr1_15796_15947_-	1	0.9501516809605489	0.08111437233668899	ENSG00000227232.5_9
chr1_16607_16765_-	1	0.9465378730703259	0.08455561356384991	ENSG00000227232.5_8
chr1_16858_17055_-	1	0.9832807547169812	0.031352910305947536	ENSG00000227232.5_7
chr1_17233_17368_-	0.81699	0.8083897941680961	0.07215117955106819	ENSG00000227232.5_6
chr1_17606_17742_-	0.90287	0.8948535334476844	0.05784294250049256	ENSG00000227232.5_5
chr1_17915_18061_-	0.96907	0.9629492624356776	0.034138848505626485	ENSG00000227232.5_4
chr1_18268_18366_-	0.68065	0.6793758662092625	0.09405074793706633	ENSG00000227232.5_3
chr1_24738_24891_-	0.56122	0.5601428644939965	0.12618936983344797	ENSG00000227232.5_2
chr1_91106_91629_-	0.0989	0.11476357512953368	0.09108628827810936	ENSG00000238009.6_6
chr1_92091_92240_-	0.177435	0.1931378448275862	0.13089322592914512	ENSG00000238009.6_5
chr1_112700_112804_-	0.07955999999999999	0.09297843103448276	0.08744021697626937	ENSG00000238009.6_3
chr1_120721_120932_-	0	0.041560364583333335	0.09640349809117237	ENSG00000238009.6_2
chr1_139790_139847_-	0.07692	0.13683967184801382	0.15849914068751622	ENSG00000239906.1_2
chr1_140075_140339_-	0.06329	0.08220970639032815	0.08604043607845722	ENSG00000239906.1_1
chr1_141474_143011_-	0.10303	0.12442464594127807	0.10231261219851184	ENSG00000241860.6_10
chr1_146386_149707_-	0.07692	0.09363891191709844	0.08359738237005658	ENSG00000241860.6_9
chr1_155767_155831_-	0.05085	0.08223268965517241	0.10175868346293979	ENSG00000241860.6_8
chr1_164263_164791_-	0.15068	0.1865522852233677	0.1416671742525049	ENSG00000241860.6_7
chr1_165884_165942_-	0.30556	0.32880228130360206	0.16662310248036405	ENSG00000241860.6_6
chr1_168100_168165_-	0.33333	0.36152883361921095	0.16102316774573433	ENSG00000241860.6_5
